a52dec 0.7.4-10
accounts-qml-module 0.7-2
accountsservice 0.6.55-2
acl 2.2.53-3
acpi_call 1.1.0-316
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.36.1-1
alsa-lib 1.2.2-1
alsa-plugins 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
amd-ucode 20200421.78c0348-1
android-studio 3.6.3.0-1
android-tools 29.0.6-1
android-udev 20200410-1
aom 1.0.0.errata1+avif-1
appmenu-gtk-module 0.7.3-1
appstream 0.12.10-2
appstream-qt 0.12.10-2
apr 1.7.0-2
apr-util 1.6.1-6
arch-audit 0.1.15-1
archlinux-appstream-data 20200415-1
archlinux-keyring 20200422-1
argon2 20190702-3
aribb24 1.0.3-2
ark 20.04.0-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
attica 5.69.0-1
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
avr-binutils 2.34-2
avr-gcc 9.3.0-1
avr-gdb 9.1-1
avr-libc 2.0.0-3
babl 0.1.74-1
baloo 5.69.0-1
baloo-widgets 20.04.0-1
base 2-2
bash 5.0.016-1
bc 1.07.1-4
biber 1:2.13-1
binutils 2.34-2
bison 3.5.4-1
bitwarden-bin 1.17.2-1
blas 3.9.0-2
bluedevil 1:5.18.5-1
bluez 5.54-2
bluez-libs 5.54-2
bluez-qt 5.69.0-1
bluez-utils 5.54-2
boost-libs 1.72.0-2
breeze 5.18.5-1
breeze-gtk 5.18.5-1
breeze-icons 5.69.0-1
bridge-utils 1.6-4
brotli 1.0.7-3
btrfs-progs 5.6-1
bzip2 1.0.8-3
c-ares 1.16.0-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.52-1
ca-certificates-utils 20181109-3
cairo 1.17.2+17+g52a7c79fd-2
cantarell-fonts 1:0.201-1
cdparanoia 10.2-7
cfitsio 1:3.48-1
cifs-utils 6.10-1
clucene 2.3.3.4-10
code 1.44.2-1
colord 1.4.4+9+g1ce26da-1
confuse 3.2.2-1
containerd 1.3.4-2
convertlit 1.8-8
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.2-2
cups 2.3.3-1
cups-filters 1.27.4-1
curl 7.70.0-1
dav1d 0.6.0-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-1
dconf 0.36.0-1
desktop-file-utils 0.24-2
